place,player,player_key,league,movement,country,points
384,Natalija Senic,14152,WTA,down,Serbia,152
385,Antonia Schmidt,1026,WTA,down,Germany,152
386,Rashmikaa Bhamidipaty Shrivalli,18040,WTA,up,India,151
387,Ekaterina Kazionova,1985,WTA,up,World,151
388,Alina Granwehr,18373,WTA,down,Switzerland,150
389,Judith Visscher Stephanie,21,WTA,up,Netherlands,150
390,Elena Micic,10904,WTA,same,Australia,147
391,Alexandra Shubladze,38880,WTA,same,World,147
392,Akasha Urhobo,127,WTA,down,USA,146
393,Martina Okalova,38017,WTA,up,Slovakia,146
394,Ayano Shimizu,5085,WTA,up,Japan,146
395,Lian Tran,13212,WTA,up,Netherlands,145
396,Yasmine Mansouri,42,WTA,up,France,145
397,Alana Smith,17346,WTA,up,USA,144
398,Lucie Havlickova,8975,WTA,down,Czech Republic,142
399,Victoria Hu,20331,WTA,down,USA,142
400,Alevtina Ibragimova,51378,WTA,up,World,142
401,Vittoria Paganetti,29728,WTA,up,Italy,142
402,Federica Urgesi,10912,WTA,down,Italy,141
403,Viktoria Morvayova,72,WTA,up,Slovakia,141
404,Mathilde Lollia,14672,WTA,up,France,141
405,Han Shi,38097,WTA,up,China,140
406,Ayla Aksu,4363,WTA,up,Turkey,140
407,Francesca Pace,24135,WTA,down,Italy,139
408,Anastasia Abbagnato,38052,WTA,down,Italy,138
409,Maria Kozyreva,19544,WTA,down,World,138
410,Andreea Craciun Georgia,14036,WTA,down,Romania,138
411,Antonia Vergara Rivera,23356,WTA,up,Chile,138
412,Naiktha Bains,2567,WTA,up,United Kingdom,138
413,Sophie Steur Joelle Lilly,15649,WTA,down,Germany,138
414,Sandra Samir,8362,WTA,down,Egypt,138
415,Lucija Ciric Bagaric,2575,WTA,down,Croatia,137
416,Fiona Ferro,526,WTA,down,France,137
417,Eri Shimizu,13810,WTA,down,Japan,137
418,Weronika Falkowska,164,WTA,down,Poland,136
419,Yasmine Kabbaj,37878,WTA,down,Morocco,136
420,Martha Matoula,34,WTA,up,Greece,136
421,Sapfo Sakellaridi,226,WTA,down,Greece,136
422,Sofia Shapatava,120,WTA,up,Georgia,135
423,Mayu Crossley,33954,WTA,up,Japan,135
424,Lucciana Perez Alarcon,38782,WTA,up,Peru,134
425,Daria Khomutsianskaya,37975,WTA,up,World,134
426,Sara Daavettila,13521,WTA,up,USA,134
427,Alice Tubello,7522,WTA,up,France,133
428,Tena Lukas,1438,WTA,up,Croatia,133
429,Amandine Monnot,14242,WTA,same,France,133
430,Kira Pavlova,13072,WTA,same,World,133
431,Berfu Cengiz,1241,WTA,same,Turkey,132
432,Aneta Kucmova,,WTA,down,Czech Republic,132
433,Zuzanna Pawlikowska,15409,WTA,down,Poland,132
434,Julia Adams,15344,WTA,up,USA,132
435,Victoria Allen,71438,WTA,up,United Kingdom,131
436,Madison Sieg,9246,WTA,down,USA,129
437,Lisa Zaar,12814,WTA,up,Sweden,129
438,Elizara Yaneva,58227,WTA,up,Bulgaria,127
439,Gergana Topalova,169,WTA,down,Bulgaria,126
440,Mina Hodzic,147,WTA,down,Germany,125
441,Ana Bogdan,2004,WTA,down,Romania,124
442,Hayu Kinoshita,10909,WTA,down,Japan,124
443,Wilda Hennemann Caijsa,162,WTA,down,Sweden,123
444,Ayumi Koshiishi,38,WTA,down,Japan,123
445,Shiho Akita,4315,WTA,up,Japan,123
446,Amelia Rajecki,39071,WTA,down,United Kingdom,122
