tour,as_of_date,elo_rank,player,age,elo,unnamed_4,helo_rank,helo,celo_rank,celo,gelo_rank,gelo,unnamed_11,peak_elo,peak_month,unnamed_14,wta_rank,log_diff
WTA,2026-02-16,149,Diane Parry,23.4,1644.7,,160.0,1586.2,129.0,1599.1,80.0,1620.1,,1763.9,2024-03,,107.0,0.33
WTA,2026-02-16,150,Hanne Vandewinkel,21.7,1644.3,,126.0,1643.3,145.0,1572.3,175.0,1486.1,,1678.1,2025-10,,124.0,0.19
WTA,2026-02-16,151,Suzan Lamens,26.6,1644.2,,150.0,1599.0,150.0,1564.1,148.0,1521.2,,1795.2,2025-04,,109.0,0.33
WTA,2026-02-16,152,Anca Alexia Todoni,20.9,1643.2,,186.0,1550.5,79.0,1692.2,154.0,1514.3,,1785.1,2025-01,,180.0,-0.17
WTA,2026-02-16,153,Kaitlin Quevedo,19.9,1641.2,,155.0,1594.0,113.0,1616.2,168.0,1495.6,,1699.5,2025-09,,132.0,0.15
WTA,2026-02-16,154,Polina Kudermetova,22.6,1640.8,,149.0,1603.0,144.0,1572.7,158.0,1508.5,,1770.3,2024-12,,146.0,0.05
WTA,2026-02-16,155,Tamara Zidansek,28.1,1638.8,,169.0,1573.0,116.0,1613.6,185.0,1472.6,,1857.1,2019-06,,147.0,0.05
WTA,2026-02-16,156,Mayar Sherif,29.7,1638.7,,231.0,1481.6,97.0,1639.9,183.0,1474.6,,1863.6,2023-06,,108.0,0.37
WTA,2026-02-16,157,Sinja Kraus,23.7,1638.3,,170.0,1569.0,107.0,1627.5,155.0,1512.5,,1711.3,2025-03,,102.0,0.43
WTA,2026-02-16,158,Tatjana Maria,38.5,1635.4,,161.0,1582.6,170.0,1540.6,74.0,1629.5,,1804.5,2009-08,,54.0,1.07
WTA,2026-02-16,159,Lola Radivojevic,21.1,1631.5,,205.0,1514.5,99.0,1638.1,130.0,1545.0,,1674.4,2025-10,,141.0,0.12
WTA,2026-02-16,160,Celine Naef,20.6,1630.8,,141.0,1616.3,223.0,1473.3,110.0,1572.6,,1713.2,2023-09,,231.0,-0.37
WTA,2026-02-16,161,Yuliia Starodubtseva,25.9,1628.8,,164.0,1579.7,123.0,1606.6,145.0,1528.2,,1834.9,2024-10,,101.0,0.47
WTA,2026-02-16,162,Elizara Yaneva,18.8,1626.6,,154.0,1594.3,205.0,1495.8,174.0,1488.3,,1661.3,2026-02,,228.0,-0.34
WTA,2026-02-16,163,Olivia Gadecki,23.7,1625.6,,148.0,1603.5,187.0,1518.2,163.0,1499.3,,1767.5,2024-10,,179.0,-0.09
WTA,2026-02-16,164,Rebecca Marino,34.7,1625.6,,157.0,1590.9,208.0,1493.4,114.0,1570.6,,1833.6,2010-11,,247.0,-0.41
WTA,2026-02-16,165,Alize Cornet,35.6,1622.8,,159.0,1586.8,146.0,1567.3,106.0,1577.5,,2012.5,2008-05,,,
